employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#1 - H FULFILLMENT",0906331144,"2026-01-06 15:53:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-06 15:55:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-06 15:55:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-06 15:55:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-06 15:55:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0953153513,"2026-01-06 15:56:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-06 15:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-06 15:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-06 15:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-06 15:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-06 15:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-06 15:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-06 15:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-06 15:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-06 15:59:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-06 15:59:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678888,"2026-01-06 15:59:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-06 16:00:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-06 16:00:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-06 19:56:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-06 19:56:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-06 19:56:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-06 19:56:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-06 19:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0953153513,"2026-01-06 19:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-06 20:27:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795641386,"2026-01-06 20:27:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-06 20:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-06 20:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-06 20:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0953153513,"2026-01-06 20:29:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0795648116,"2026-01-07 01:25:00",2026-01-07,device,,,
